"","PLAYER_NAME","YEAR","POS","MIN","GP","PER","WS","TS_PCT","PTS","FTA","TD3"
"260","Royce O'Neale","2019-2020","PF",29.1846153846154,65,9.3,4.1,0.583,6.4,0.8,0
"261","Semi Ojeleye","2019-2020","PF",14.6129032258065,62,7.5,1.7,0.557,3.1,0.4,0
"262","Jahlil Okafor","2019-2020","C",15.1428571428571,28,17.8,1.1,0.631,7.6,2.1,0
"263","Elie Okobo","2019-2020","PG",13.0925925925926,54,10.5,0.9,0.511,4,1.2,0
"264","Josh Okogie","2019-2020","SG",24.9516129032258,62,11.5,2.2,0.553,8.6,3.1,0
"265","Kelly Olynyk","2019-2020","C",18.4576271186441,59,14.7,3.2,0.64,7.9,1.4,0
"266","Cedi Osman","2019-2020","SF",29.3846153846154,65,10.7,1.6,0.552,11,1.4,0
"267","Kelly Oubre Jr.","2019-2020","SF",34.5178571428571,56,14.9,3.7,0.56,18.7,4.4,0
"268","Jabari Parker","2019-2020","PF",25.8181818181818,33,17,1.2,0.561,14.4,2.2,0
"269","Eric Paschall","2019-2020","PF",27.5666666666667,60,14.5,2.1,0.571,14,3.5,0
"270","Anzejs Pasecniks","2019-2020","C",16.875,24,11.6,0.5,0.555,5.8,2.2,0
"271","Patrick Patterson","2019-2020","PF",12.0961538461538,52,11.8,1.6,0.583,4.6,0.6,0
"272","Chris Paul","2019-2020","PG",31.7936507936508,63,21.7,8.1,0.609,17.7,4,0
"273","Elfrid Payton","2019-2020","PG",27.6888888888889,45,16,1.7,0.47,10,1.9,1
"274","Gary Payton II","2019-2020","PG",14.8965517241379,29,11.3,0.4,0.473,3.9,0.3,0
"275","Mason Plumlee","2019-2020","C",16.9811320754717,53,19.1,3,0.615,7.2,2.6,0
"276","Jakob Poeltl","2019-2020","C",16.8983050847458,59,19.5,3.4,0.606,5.3,1.3,0
"277","Jordan Poole","2019-2020","SG",22.3508771929825,57,7.2,-1.2,0.454,8.8,2.1,0
"278","Kevin Porter Jr.","2019-2020","SF",23.24,50,10.8,0.3,0.535,10,2,0
"279","Michael Porter Jr.","2019-2020","PF",13.9583333333333,48,18.5,2,0.589,7.5,0.9,0
"280","Bobby Portis","2019-2020","C",21.1060606060606,66,14.6,1.9,0.53,10.1,1.4,0
"281","Kristaps Porzingis","2019-2020","PF",31.4615384615385,52,19.7,4.5,0.543,19.8,4.7,0
"282","Dwight Powell","2019-2020","C",26.525,40,15.9,3.7,0.677,9.4,2.8,0
"283","Norman Powell","2019-2020","SG",28.8409090909091,44,17.4,4.1,0.629,16.2,2.9,0
"284","Julius Randle","2019-2020","PF",32.5,64,17.5,2.7,0.538,19.5,5.5,0
"285","Cam Reddish","2019-2020","SF",26.7413793103448,58,9,-0.4,0.5,10.5,2.2,0
"286","JJ Redick","2019-2020","SG",26.3818181818182,55,15.2,3.8,0.639,14.9,3.1,0
"287","Naz Reid","2019-2020","C",16.5,30,15.3,0.8,0.505,9,1.8,0
"288","Josh Richardson","2019-2020","SG",30.7083333333333,48,12.1,1.9,0.526,13.6,2.6,0
"289","Austin Rivers","2019-2020","SG",23.3114754098361,61,10.4,2.3,0.538,8.4,1.5,0
"290","Duncan Robinson","2019-2020","SF",29.9846153846154,65,12.8,4.7,0.678,13.3,0.9,0
"291","Glenn Robinson III","2019-2020","SF",29.05,60,13.4,2.8,0.576,11.8,1.4,0
"292","Jerome Robinson","2019-2020","SG",13.9285714285714,56,6.6,0.2,0.462,4.1,0.6,0
"293","Mitchell Robinson","2019-2020","C",23.1475409836066,61,23.5,6.8,0.726,9.7,2.4,0
"294","Rajon Rondo","2019-2020","PG",20.5,48,12.4,1.5,0.494,7.1,0.9,0
"295","Derrick Rose","2019-2020","PG",25.96,50,21.1,2.5,0.555,18.1,2.8,0
"296","Terrence Ross","2019-2020","SG",27.28125,64,14.1,2.9,0.548,14.8,2.6,0
"297","Terry Rozier","2019-2020","PG",34.3492063492063,63,14.9,3,0.553,18,3,0
"298","Ricky Rubio","2019-2020","PG",31.5689655172414,58,16.4,4.3,0.534,13.2,3.7,2
"299","D'Angelo Russell","2019-2020","PG",32.2666666666667,45,18.7,1.8,0.556,23.1,4.4,0
"300","Domantas Sabonis","2019-2020","C",34.8225806451613,62,20.8,7.6,0.586,18.5,4.8,4
"301","JaKarr Sampson","2019-2020","SF",13.0769230769231,26,11.8,0.8,0.607,4.2,0.7,0
"302","Dario Saric","2019-2020","PF",24.8983050847458,59,13.4,2.8,0.578,10.3,1.7,0
"303","Tomas Satoransky","2019-2020","PG",28.8923076923077,65,13.5,3.5,0.533,9.9,1.9,0
"304","Dennis Schroder","2019-2020","PG",30.984126984127,63,16.8,3.5,0.573,18.9,3.7,0
"305","Mike Scott","2019-2020","PF",17.7619047619048,63,10.2,2.1,0.539,5.7,0.5,0
"306","Collin Sexton","2019-2020","SG",32.9692307692308,65,16.3,2.5,0.56,20.8,4.1,0
"307","Landry Shamet","2019-2020","SG",27.4166666666667,48,8.8,2.6,0.59,9.5,1.4,0
"308","Pascal Siakam","2019-2020","PF",35.5094339622642,53,18.7,5.2,0.559,23.5,5.1,0
"309","Ben Simmons","2019-2020","PG",35.7407407407407,54,20.8,7,0.608,16.7,5.3,6
"310","Anfernee Simons","2019-2020","SG",21.5384615384615,65,9.3,0.3,0.506,8.8,1.4,0
"311","Marcus Smart","2019-2020","SG",32.462962962963,54,14.1,4.2,0.525,13.5,2.5,0
"312","Dennis Smith Jr.","2019-2020","PG",15.7941176470588,34,7.5,-0.9,0.399,5.5,1.6,0
"313","Ish Smith","2019-2020","PG",26.1639344262295,61,13.8,1.7,0.511,10.6,1.2,0
"314","Tony Snell","2019-2020","SF",27.8135593220339,59,9.7,2.6,0.598,8,0.5,0
"315","Omari Spellman","2019-2020","PF",18.0816326530612,49,14.4,1.2,0.551,7.6,1.9,0
"316","Edmond Sumner","2019-2020","PG",13.8,25,10,0.3,0.485,4.4,0.7,0
"317","Caleb Swanigan","2019-2020","PF",13.25,20,8.3,0.1,0.605,2.4,0.6,0
"318","Jayson Tatum","2019-2020","PF",34.6,60,19.9,6,0.556,23.4,4.8,0
"319","Jeff Teague","2019-2020","PG",24.8135593220339,59,14.6,2.5,0.557,10.9,3.3,0
"320","Garrett Temple","2019-2020","SG",28.0535714285714,56,10.1,2,0.505,10.1,1.4,0
"321","Daniel Theis","2019-2020","C",23.9661016949153,59,18.1,5.9,0.624,9.4,1.8,0
"322","Isaiah Thomas","2019-2020","PG",23.125,40,11.6,0,0.531,12.2,1.9,0
"323","Tristan Thompson","2019-2020","C",30.1929824561403,57,16.8,3.1,0.54,12,2.8,0
"324","Matisse Thybulle","2019-2020","SG",19.4736842105263,57,9.8,1.9,0.53,4.7,0.7,0
"325","Anthony Tolliver","2019-2020","PF",15.5625,48,6.7,0.3,0.497,3.4,0.6,0
"326","Karl-Anthony Towns","2019-2020","C",33.9142857142857,35,26.5,5.1,0.642,26.5,6.5,0
"327","Gary Trent Jr.","2019-2020","SG",20.1111111111111,54,12.1,1.7,0.562,8.1,0.7,0
"328","Allonzo Trier","2019-2020","PG",12.125,24,14.5,0.5,0.62,6.5,1.8,0
"329","P.J. Tucker","2019-2020","PF",34.4923076923077,65,8.7,4,0.583,7.2,0.7,0
"330","Evan Turner","2019-2020","PG",13.2105263157895,19,6.8,-0.3,0.424,3.3,0.7,0
"331","Myles Turner","2019-2020","C",29.6,55,14.7,3.7,0.561,11.8,2.6,0
"332","Jonas Valanciunas","2019-2020","C",26.1111111111111,63,22.5,6.3,0.635,14.9,2.8,0
"333","Denzel Valentine","2019-2020","SF",13.5555555555556,36,13,0.5,0.511,6.8,0.2,0
"334","Fred VanVleet","2019-2020","PG",35.8125,48,16,4.9,0.546,17.5,3.4,0
"335","Nikola Vucevic","2019-2020","C",32.5454545454545,55,21.7,5.7,0.543,19.6,2.8,0
"336","Moritz Wagner","2019-2020","C",18.9736842105263,38,16.2,1.7,0.663,9.1,2.1,0
"337","Kemba Walker","2019-2020","PG",31.5882352941176,51,20.3,5.5,0.571,21,4.4,0
"338","Lonnie Walker IV","2019-2020","SG",14.7962962962963,54,11.2,0.5,0.52,5.9,1,0
"339","Taurean Prince","2019-2020","SF",29.015625,64,9.2,0.7,0.497,12.1,1.4,0
"340","Brad Wanamaker","2019-2020","PG",19.390625,64,12,2.9,0.562,6.6,1.8,0
"341","T.J. Warren","2019-2020","SF",32.5245901639344,61,17.2,5.3,0.599,19.2,3.1,0
"342","P.J. Washington","2019-2020","PF",30.3275862068966,58,12.4,2,0.547,12.2,2.3,0
"343","Russell Westbrook","2019-2020","PG",36.0740740740741,54,21.4,4.3,0.537,27.6,6.7,8
"344","Coby White","2019-2020","SG",25.7538461538462,65,11.9,0.9,0.506,13.2,2,0
"345","Derrick White","2019-2020","SG",24.2258064516129,62,16.1,3.5,0.59,10.7,3,0
"346","Hassan Whiteside","2019-2020","C",31.0967741935484,62,25,8.2,0.641,16,3.6,0
"347","Andrew Wiggins","2019-2020","SF-SG",34.4074074074074,54,16.4,1.9,0.536,21.8,5,1
"348","Grant Williams","2019-2020","PF",15.4603174603175,63,8,1.5,0.508,3.4,0.8,0
"349","Kenrich Williams","2019-2020","PF",22.2571428571429,35,7.6,0.8,0.43,3.7,0.7,0
"350","Lou Williams","2019-2020","SG",29.2833333333333,60,17.2,3.9,0.546,18.7,5.4,0
"351","Marvin Williams","2019-2020","PF",19.4423076923077,52,11.4,2.1,0.585,6.1,1,0
"352","Zion Williamson","2019-2020","PF",29,20,24.1,1.8,0.628,22.3,7.4,0
"353","Christian Wood","2019-2020","PF",21.3709677419355,62,23.2,5.1,0.659,13.1,3.9,0
"354","Delon Wright","2019-2020","SG",21.6212121212121,66,16,4.3,0.564,7.2,1.4,0
"355","Thaddeus Young","2019-2020","PF",24.859375,64,13.3,1.9,0.521,10.3,1.1,0
"356","Trae Young","2019-2020","PG",35.3333333333333,60,23.9,5.9,0.595,29.6,9.3,2
"357","Cody Zeller","2019-2020","C",23.1206896551724,58,18.8,3.6,0.576,11.1,3.1,0
"358","Ivica Zubac","2019-2020","C",18.0307692307692,65,20.7,5.6,0.64,7.9,2.3,0
