"","PLAYER_NAME","YEAR","POS","MIN","GP","PER","WS","TS_PCT","PTS","FTA","TD3"
"63","Wendell Carter Jr.","2019-2020","C",29.2093023255814,43,15.5,3.3,0.59,11.3,3.5,0
"64","Michael Carter-Williams","2019-2020","SG",18.4883720930233,43,15.2,1.8,0.532,7.3,2.1,0
"65","Alex Caruso","2019-2020","PG",17.9661016949153,59,10.9,2.3,0.533,5.6,1.4,0
"66","Willie Cauley-Stein","2019-2020","C",20.3148148148148,54,17,2.9,0.589,7.2,1.2,0
"67","Wilson Chandler","2019-2020","SF",20.9714285714286,35,7.4,0.7,0.531,5.9,0.7,0
"68","Chris Chiozza","2019-2020","PG",12.0909090909091,22,12,0.4,0.501,4.3,0.1,0
"69","Marquese Chriss","2019-2020","PF",20.271186440678,59,19.5,3.4,0.604,9.3,2.6,0
"70","Gary Clark","2019-2020","PF",12.1666666666667,18,8.7,0.3,0.501,3.2,0.2,0
"71","Brandon Clarke","2019-2020","PF",21.9607843137255,51,22.1,4.6,0.677,12.1,2,0
"72","Jordan Clarkson","2019-2020","SG",24.359375,64,18,3.6,0.583,15.2,2.4,0
"73","John Collins","2019-2020","PF",33.2439024390244,41,23.5,4.9,0.659,21.6,3.7,0
"74","Mike Conley","2019-2020","PG",28.6904761904762,42,13.8,2.2,0.529,13.9,2.9,0
"75","Pat Connaughton","2019-2020","SG",18.344262295082,61,11.2,3,0.558,5.1,0.6,0
"76","Robert Covington","2019-2020","PF",30.3015873015873,63,13.6,3.4,0.567,12.8,1.8,0
"77","Allen Crabbe","2019-2020","SG",17.6486486486486,37,6,-0.1,0.47,4.6,0.4,0
"78","Torrey Craig","2019-2020","SF",17.38,50,10.4,1.7,0.559,5.1,0.6,0
"79","Jae Crowder","2019-2020","SF",29.2241379310345,58,12.1,3.1,0.532,10.4,2.1,0
"80","Jarrett Culver","2019-2020","SG",23.9047619047619,63,9.6,-0.1,0.467,9.2,1.9,0
"81","Seth Curry","2019-2020","SG",24.5166666666667,60,15.8,4.2,0.645,12.5,1.6,0
"82","Anthony Davis","2019-2020","PF",34.375,56,28.1,10.5,0.614,26.6,8.5,0
"83","Terence Davis","2019-2020","SG",16.984375,64,14.5,3,0.598,7.7,0.8,0
"84","Dewayne Dedmon","2019-2020","C",17.5909090909091,44,9.4,0.1,0.473,5.8,0.8,0
"85","Matthew Dellavedova","2019-2020","PG",14.4035087719298,57,8.1,0.2,0.463,3.1,0.6,0
"86","DeMar DeRozan","2019-2020","SF",34.3387096774194,62,21.4,6.4,0.6,22.1,6.6,0
"87","Hamidou Diallo","2019-2020","SF",18.3947368421053,38,8.4,0.2,0.488,6.2,1.2,0
"88","Gorgui Dieng","2019-2020","C",17.448275862069,58,17.4,2.7,0.564,7.4,1.4,0
"89","Spencer Dinwiddie","2019-2020","SG",31.15625,64,17.9,5,0.541,20.6,7,0
"90","Donte DiVincenzo","2019-2020","SG",23.1333333333333,60,14.9,4.5,0.57,9.4,1.3,0
"91","Luka Doncic","2019-2020","PG",33.4727272727273,55,27.3,7.9,0.581,28.9,9.3,15
"92","Luguentz Dort","2019-2020","SG",21.9655172413793,29,7.3,0.7,0.521,6.2,1.2,0
"93","Damyean Dotson","2019-2020","SG",17.4166666666667,48,10.9,0.9,0.527,6.7,0.7,0
"94","Sekou Doumbouya","2019-2020","SF",19.8421052631579,38,6.2,-0.3,0.474,6.4,1.2,0
"95","Goran Dragic","2019-2020","PG",28.3518518518519,54,15.9,3,0.571,16,4.2,0
"96","Andre Drummond","2019-2020","C",32.9649122807018,57,22,4.2,0.553,17.7,5.2,0
"97","Kris Dunn","2019-2020","PG",24.8823529411765,51,12.1,2.3,0.51,7.3,1.1,0
"98","Wayne Ellington","2019-2020","SG",15.5,36,8.5,0.4,0.509,5.1,0.4,0
"99","Joel Embiid","2019-2020","C",30.2045454545455,44,26,5.6,0.593,23.8,8.8,0
"100","James Ennis III","2019-2020","SF",17.3870967741935,62,11.6,2.2,0.563,6.1,1.3,0
"101","Jacob Evans","2019-2020","SG",14.4137931034483,29,5.5,-0.5,0.436,4.4,1,0
"102","Dante Exum","2019-2020","SG",13.8571428571429,35,10.4,0.4,0.576,4.5,1.2,0
"103","Derrick Favors","2019-2020","C",24.304347826087,46,18.7,3.8,0.622,9.1,1.4,0
"104","Cristiano Felicio","2019-2020","PF",17.5454545454545,22,12.8,1,0.671,3.9,1,0
"105","Terrance Ferguson","2019-2020","SF",23.4,50,4.1,0.7,0.504,4.1,0.4,0
"106","Bruno Fernando","2019-2020","C",12.7321428571429,56,11.9,0.8,0.542,4.3,0.9,0
"107","Dorian Finney-Smith","2019-2020","PF",29.6307692307692,65,12.1,4.4,0.595,9.2,1.5,0
"108","Bryn Forbes","2019-2020","SG",25.0634920634921,63,11.2,1.5,0.57,11.2,1.4,0
"109","Evan Fournier","2019-2020","SG",31.5483870967742,62,16.9,4.6,0.602,18.7,3.3,0
"110","De'Aaron Fox","2019-2020","PG",31.8260869565217,46,20.6,3.6,0.556,20.7,6.7,0
"111","Tim Frazier","2019-2020","PG",13.1481481481481,27,9.8,0.1,0.464,3.6,0.9,0
"112","Markelle Fultz","2019-2020","PG",28.1846153846154,65,14.4,2.7,0.522,12,2.2,1
"113","Daniel Gafford","2019-2020","C",14.1627906976744,43,16.2,1.8,0.686,5.1,1.4,0
"114","Danilo Gallinari","2019-2020","PF",30.7272727272727,55,19.4,5.7,0.611,19.1,4.8,0
"115","Langston Galloway","2019-2020","SG",25.7878787878788,66,12.3,3.1,0.584,10.3,1.3,0
"116","Darius Garland","2019-2020","PG",30.9152542372881,59,8.5,-1.3,0.498,12.3,1.2,0
"117","Marc Gasol","2019-2020","C",27.5,36,11.9,2.7,0.546,7.6,1,0
"118","Rudy Gay","2019-2020","PF",21.5245901639344,61,14.6,1.5,0.547,10.2,1.9,0
"119","Paul George","2019-2020","SF",29.2093023255814,43,20.6,4.1,0.587,21.3,4.5,0
"120","Taj Gibson","2019-2020","C",16.5322580645161,62,16.1,2.6,0.61,6.1,0.9,0
"121","Harry Giles III","2019-2020","PF",14.9487179487179,39,16.3,1.4,0.586,7.3,1.2,0
"122","Shai Gilgeous-Alexander","2019-2020","SG",35.1428571428571,63,17.9,5.5,0.566,19.3,5,1
"123","Rudy Gobert","2019-2020","C",34.5396825396825,63,21.6,10.1,0.698,15,5.8,0
"124","Brandon Goodwin","2019-2020","PG",12.6470588235294,34,11.7,0.1,0.507,6.1,0.9,0
"125","Aaron Gordon","2019-2020","PF",32.8813559322034,59,14.8,3.4,0.512,14.4,3.6,1
"126","Eric Gordon","2019-2020","SG",28.5882352941176,34,10.5,0.7,0.511,14.5,3,0
"127","Devonte' Graham","2019-2020","PG",35.0952380952381,63,15.8,3.4,0.537,18.2,3.7,0
"128","Treveon Graham","2019-2020","SG",16.8909090909091,55,6.6,0.2,0.456,4.4,1,0
"129","Jerami Grant","2019-2020","PF",26.1875,64,14.2,4,0.585,11.7,2.7,0
"130","Danny Green","2019-2020","SG",25.0645161290323,62,10.8,3.4,0.563,8,0.7,0
"131","Draymond Green","2019-2020","PF",28.4186046511628,43,12.6,1.1,0.489,8,1.9,2
"132","JaMychal Green","2019-2020","PF",20.6785714285714,56,10.7,2.7,0.556,6.5,0.8,0
"133","Jeff Green","2019-2020","PF",18.8780487804878,41,12.8,1.4,0.573,8.5,1.8,0
"134","Blake Griffin","2019-2020","PF",28.4444444444444,18,11.9,-0.1,0.476,15.5,5.4,0
"135","Rui Hachimura","2019-2020","PF",29.6904761904762,42,14,1.7,0.545,13.4,2.8,0
"136","Tim Hardaway Jr.","2019-2020","SG",29,64,15.1,4.3,0.585,15.8,2.4,0
"137","James Harden","2019-2020","SG",36.8548387096774,62,28.7,12,0.619,34.4,12,4
